Country,Clicks,Impressions,CTR,Position
Kenya,84,916,9.17%,3.96
United States,50,1986,2.52%,10.8
India,23,315,7.3%,14.28
Germany,8,111,7.21%,13.95
Brazil,5,48,10.42%,3.94
United Kingdom,4,279,1.43%,36.52
Turkey,4,126,3.17%,8.48
Bangladesh,3,59,5.08%,12.41
United Arab Emirates,3,58,5.17%,8.81
Italy,3,42,7.14%,5.67
Egypt,3,9,33.33%,9.33
Pakistan,2,47,4.26%,4.21
Nigeria,2,29,6.9%,3.76
Singapore,2,22,9.09%,21.73
South Africa,2,21,9.52%,3.95
Morocco,2,17,11.76%,19.24
Saudi Arabia,2,8,25%,22.5
Nepal,2,3,66.67%,1
Canada,1,69,1.45%,20.57
Vietnam,1,40,2.5%,30.38
Indonesia,1,28,3.57%,43.61
France,1,21,4.76%,4.19
Mexico,1,17,5.88%,19.41
Argentina,1,16,6.25%,4.88
Spain,1,16,6.25%,7.81
Switzerland,1,16,6.25%,11.19
New Zealand,1,8,12.5%,23.5
Algeria,1,7,14.29%,50
Denmark,1,6,16.67%,3.17
Ghana,1,6,16.67%,7.67
Rwanda,1,6,16.67%,7.83
Jordan,1,6,16.67%,34
Albania,1,5,20%,2.8
Israel,1,5,20%,3
Tanzania,1,5,20%,9
Greece,1,4,25%,1.25
Benin,1,3,33.33%,7
Slovakia,1,2,50%,3.5
Congo - Kinshasa,1,2,50%,8.5
Kuwait,1,1,100%,1
Montenegro,1,1,100%,1
Mozambique,1,1,100%,1
Côte d’Ivoire,1,1,100%,2
Netherlands,0,80,0%,14.46
Australia,0,60,0%,35.53
Russia,0,55,0%,11.56
Philippines,0,35,0%,32.57
Japan,0,26,0%,10.12
Thailand,0,17,0%,15.59
South Korea,0,14,0%,4.21
Norway,0,14,0%,9.79
Ukraine,0,12,0%,13.42
Poland,0,9,0%,21.78
Malaysia,0,9,0%,29.33
Sri Lanka,0,8,0%,1.5
Colombia,0,8,0%,4.5
Portugal,0,7,0%,3.14
Austria,0,7,0%,3.43
China,0,7,0%,7.14
Bulgaria,0,6,0%,4.17
Chile,0,6,0%,10.67
Estonia,0,5,0%,2.2
Kazakhstan,0,5,0%,3.4
Romania,0,5,0%,8.4
Belgium,0,5,0%,11
Bosnia & Herzegovina,0,4,0%,1.5
Hong Kong,0,4,0%,1.75
Taiwan,0,4,0%,5
Lebanon,0,4,0%,6.5
Laos,0,3,0%,2.33
Uganda,0,3,0%,4.33
Haiti,0,3,0%,4.67
Zimbabwe,0,3,0%,5.67
Nicaragua,0,3,0%,9
Iraq,0,3,0%,18
Sweden,0,2,0%,1
Czechia,0,2,0%,1.5
Ecuador,0,2,0%,1.5
Hungary,0,2,0%,2
Dominican Republic,0,2,0%,2.5
Armenia,0,2,0%,3
Myanmar (Burma),0,2,0%,3
Mongolia,0,2,0%,3.5
Maldives,0,2,0%,4
Puerto Rico,0,2,0%,4
Cyprus,0,2,0%,4.5
Finland,0,2,0%,5
Ireland,0,2,0%,5
Cameroon,0,2,0%,5.5
Tunisia,0,2,0%,6
Jamaica,0,2,0%,7.5
Namibia,0,2,0%,9
Barbados,0,2,0%,9.5
Oman,0,2,0%,13.5
Iran,0,2,0%,19
Costa Rica,0,1,0%,1
Croatia,0,1,0%,1
Jersey,0,1,0%,1
Malawi,0,1,0%,1
Panama,0,1,0%,1
Somalia,0,1,0%,1
Venezuela,0,1,0%,1
Botswana,0,1,0%,2
Ethiopia,0,1,0%,2
Latvia,0,1,0%,2
Serbia,0,1,0%,2
Chad,0,1,0%,2
Georgia,0,1,0%,4
Macedonia,0,1,0%,4
South Sudan,0,1,0%,4
Guam,0,1,0%,5
Paraguay,0,1,0%,5
Belize,0,1,0%,6
Honduras,0,1,0%,6
Bahamas,0,1,0%,10
Lesotho,0,1,0%,10
Peru,0,1,0%,10
Palestine,0,1,0%,10
Qatar,0,1,0%,10
Bolivia,0,1,0%,11
Papua New Guinea,0,1,0%,11
